Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
2024-07-11 20:00:00,584,578,482263,863691
2024-07-12 20:00:00,586,579,565358,792890
2024-07-13 20:00:00,577,568,686277,970539
2024-07-14 20:00:00,578,567,607435,673803
2024-07-15 20:00:00,583,574,530991,610900
2024-07-16 20:00:00,599,587,692199,722380
2024-07-17 20:00:00,589,581,566842,876952
2024-07-18 20:00:00,582,571,588619,587444
2024-07-19 20:00:00,574,562,595819,659026
2024-07-20 20:00:00,555,551,756601,749769
2024-07-21 20:00:00,559,548,661070,627550
2024-07-22 20:00:00,545,529,543351,610010
2024-07-23 20:00:00,556,552,478902,543807
2024-07-24 20:00:00,569,560,394924,720482
2024-07-25 20:00:00,583,574,387577,801738
2024-07-26 20:00:00,572,566,522480,767304
2024-07-27 20:00:00,563,559,678832,785992
2024-07-28 20:00:00,569,560,621744,684786
2024-07-29 20:00:00,563,557,523055,708783
2024-07-30 20:00:00,585,576,405285,654723
2024-07-31 20:00:00,567,572,547071,704471
2024-08-01 20:00:00,545,542,982082,930676
2024-08-02 20:00:00,546,534,733350,534273
2024-08-03 20:00:00,540,537,596236,793840
2024-08-04 20:00:00,557,542,759466,936454
2024-08-05 20:00:00,551,543,632996,723252
2024-08-06 20:00:00,587,572,679886,768359
2024-08-07 20:00:00,579,571,467449,749249
2024-08-08 20:00:00,579,571,695939,653960
2024-08-09 20:00:00,581,570,677062,786108
2024-08-10 20:00:00,576,562,612362,894799
2024-08-11 20:00:00,582,573,660367,709756
2024-08-12 20:00:00,586,577,665502,593677
2024-08-13 20:00:00,591,578,569550,729362
2024-08-14 20:00:00,594,586,874956,914533
2024-08-15 20:00:00,584,571,531158,683884
2024-08-16 20:00:00,577,567,609004,851471
2024-08-17 20:00:00,570,560,727106,718517
2024-08-18 20:00:00,550,553,1030123,724623
2024-08-19 20:00:00,534,530,870135,830294
2024-08-20 20:00:00,539,527,462872,831645
2024-08-21 20:00:00,551,542,519544,896490
2024-08-22 20:00:00,563,551,438238,973791
2024-08-23 20:00:00,568,559,711665,727332
2024-08-24 20:00:00,569,561,864876,949998
2024-08-25 20:00:00,576,572,427488,702959
2024-08-26 20:00:00,566,560,775222,938373
2024-08-27 20:00:00,552,542,596727,854417
2024-08-28 20:00:00,491,494,1004465,873214
2024-08-29 20:00:00,520,513,780571,602688
2024-08-30 20:00:00,515,510,775737,907262
2024-08-31 20:00:00,507,500,47639,110546
2024-09-01 20:00:00,533,525,454506,749338
2024-09-02 20:00:00,544,533,573276,790351
2024-09-03 20:00:00,517,505,652677,619843
2024-09-04 20:00:00,514,504,834726,863905
2024-09-05 20:00:00,520,516,637623,691266
2024-09-06 20:00:00,523,518,715679,705712
2024-09-07 20:00:00,541,534,619570,910778
2024-09-08 20:00:00,547,543,717449,954459
2024-09-09 20:00:00,569,560,607784,700177
2024-09-10 20:00:00,574,564,504454,634601
2024-09-11 20:00:00,579,570,563358,837483
2024-09-12 20:00:00,573,565,513116,592101
2024-09-13 20:00:00,566,559,492478,852258
2024-09-14 20:00:00,576,566,627014,760026
2024-09-15 20:00:00,574,559,591222,933756
2024-09-16 20:00:00,579,570,658830,782131
2024-09-17 20:00:00,570,560,632166,633189
2024-09-18 20:00:00,572,564,472754,567892
2024-09-19 20:00:00,567,562,664359,481278
2024-09-20 20:00:00,553,548,765554,594280
2024-09-21 20:00:00,554,543,856626,752688
2024-09-22 20:00:00,557,545,558515,608870
2024-09-23 20:00:00,571,567,714530,638740
2024-09-24 20:00:00,583,573,536997,884843
2024-09-25 20:00:00,570,562,646951,775317
2024-09-26 20:00:00,580,572,548403,739259
2024-09-27 20:00:00,553,553,553082,775060
2024-09-28 20:00:00,513,507,1029664,710625
2024-09-29 20:00:00,540,533,522613,760390
2024-09-30 20:00:00,531,520,457853,522976
2024-10-01 20:00:00,543,533,518819,547671
2024-10-02 20:00:00,563,547,498107,829612
2024-10-03 20:00:00,544,536,514470,613287
2024-10-04 20:00:00,544,537,555479,718085
2024-10-05 20:00:00,545,537,577648,811091
2024-10-06 20:00:00,554,548,560686,706096
2024-10-07 20:00:00,555,547,547223,866175
2024-10-08 20:00:00,556,549,713725,580956
2024-10-09 20:00:00,544,543,667563,767220
2024-10-10 20:00:00,538,528,758001,749165
2024-10-11 20:00:00,531,522,586461,773188
2024-10-12 20:00:00,519,512,593478,670943
2024-10-13 20:00:00,502,500,741959,866628
2024-10-14 20:00:00,511,502,547787,780435
2024-10-15 20:00:00,522,511,508998,632486
2024-10-16 20:00:00,519,513,475811,671782
2024-10-17 20:00:00,518,510,533009,642232
2024-10-18 20:00:00,516,510,622506,621504
2024-10-19 20:00:00,505,499,588840,620588
2024-10-20 20:00:00,502,494,856310,707984
2024-10-21 20:00:00,500,494,439158,699842
2024-10-22 20:00:00,509,502,432183,506477
2024-10-23 20:00:00,511,504,523050,678312
2024-10-24 20:00:00,506,498,495107,626702
2024-10-25 20:00:00,503,497,768885,703860
2024-10-26 20:00:00,503,494,1046434,721094
2024-10-27 20:00:00,503,496,763559,566311
2024-10-28 20:00:00,511,503,524379,657364
2024-10-29 20:00:00,512,506,568782,552611
2024-10-30 20:00:00,510,504,569399,795636
2024-10-31 20:00:00,510,504,480019,667365
2024-11-01 20:00:00,510,504,712302,674646
2024-11-02 20:00:00,512,506,612875,617644
2024-11-03 19:00:00,520,512,604731,534844
2024-11-04 19:00:00,516,507,569658,804271
2024-11-05 19:00:00,523,513,544374,566410
2024-11-06 19:00:00,513,509,602215,535795
2024-11-07 19:00:00,519,511,437934,639521
2024-11-08 19:00:00,520,511,622893,704488
2024-11-09 19:00:00,520,510,746442,674690
2024-11-10 19:00:00,535,527,623688,669342
2024-11-11 19:00:00,533,523,430468,858276
2024-11-12 19:00:00,517,505,535225,702536
2024-11-13 19:00:00,528,518,547789,645044
2024-11-14 19:00:00,527,520,493388,639618
2024-11-15 19:00:00,523,512,724996,628697
2024-11-16 19:00:00,524,515,654186,784592
2024-11-17 19:00:00,506,499,635730,591498
2024-11-18 19:00:00,499,493,527231,598791
2024-11-19 19:00:00,501,495,563703,674563
2024-11-20 19:00:00,506,500,407671,642049
2024-11-21 19:00:00,507,499,418986,742234
2024-11-22 19:00:00,507,498,622817,654572
2024-11-23 19:00:00,515,508,589214,940945
2024-11-24 19:00:00,519,511,712898,776301
2024-11-25 19:00:00,466,480,839358,1006944
2024-11-26 19:00:00,492,479,518571,431376
2024-11-27 19:00:00,493,497,295983,392048
2024-11-28 19:00:00,514,506,254458,462470
2024-11-29 19:00:00,503,496,375078,526003
2024-11-30 19:00:00,501,495,421761,599829
2024-12-01 19:00:00,457,468,626654,593459
2024-12-02 19:00:00,491,482,502446,422449
2024-12-03 19:00:00,506,496,286785,360709
2024-12-04 19:00:00,506,501,306867,452727
2024-12-05 19:00:00,507,498,344699,434139
2024-12-06 19:00:00,508,498,464891,406814
2024-12-07 19:00:00,501,490,582495,541919
2024-12-08 19:00:00,492,482,438146,466501
2024-12-09 19:00:00,491,484,281279,492182
2024-12-10 19:00:00,496,471,291525,511782
2024-12-11 19:00:00,500,496,321145,382276
2024-12-12 19:00:00,494,489,426803,694437
2024-12-13 19:00:00,504,493,398541,447939
2024-12-14 19:00:00,495,486,720654,735734
2024-12-15 19:00:00,496,485,412210,563354
2024-12-16 19:00:00,502,494,473884,570270
2024-12-17 19:00:00,500,484,404174,476252
2024-12-18 19:00:00,505,498,325796,374274
2024-12-19 19:00:00,512,501,345644,620318
2024-12-20 19:00:00,511,502,375678,525756
2024-12-21 19:00:00,503,493,378169,531725
2024-12-22 19:00:00,527,516,452371,451146
2024-12-23 19:00:00,534,520,550025,486055
2024-12-24 19:00:00,517,508,468521,354433
2024-12-25 19:00:00,506,499,415776,616090
2024-12-26 19:00:00,495,467,480097,613332
2024-12-27 19:00:00,503,492,627100,508095
2024-12-28 19:00:00,494,485,461705,614195
2024-12-29 19:00:00,502,491,518310,402903
2024-12-30 19:00:00,521,509,414555,684208
