Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
9/12/2024 20:00,1159,1136,1022125,1485328
9/13/2024 20:00,1142,1132,1061115,1126540
9/14/2024 20:00,1097,1085,1299368,1208949
9/15/2024 20:00,1094,1082,978309,1067602
9/16/2024 20:00,1069,1053,942552,858839
9/17/2024 20:00,1037,1024,772330,969705
9/18/2024 20:00,1007,993,1175945,1004548
9/19/2024 20:00,995,986,893846,1092878
9/20/2024 20:00,1029,1019,835071,1144670
9/21/2024 20:00,1050,1037,1208330,1454179
9/22/2024 20:00,1048,1040,893444,1008634
9/23/2024 20:00,1027,1014,1004055,1060799
9/24/2024 20:00,1007,997,1123325,1182779
9/25/2024 20:00,1013,1004,668483,1026530
9/26/2024 20:00,1050,1034,688530,989670
9/27/2024 20:00,1106,1091,947225,1385546
9/28/2024 20:00,1128,1109,922457,1822453
9/29/2024 20:00,1140,1125,747421,1277271
9/30/2024 20:00,1116,1103,664694,853837
10/1/2024 20:00,1131,1120,705723,823967
10/2/2024 20:00,1112,1097,853241,891610
10/3/2024 20:00,1119,1111,691535,932148
10/4/2024 20:00,1116,1111,1049320,1095913
10/5/2024 20:00,1121,1111,1138585,1247926
10/6/2024 20:00,1134,1127,822234,1180691
10/7/2024 20:00,1159,1148,883651,1064676
10/8/2024 20:00,1156,1148,767117,907349
10/9/2024 20:00,1151,1139,885937,789189
10/10/2024 20:00,1112,1105,708775,895387
10/11/2024 20:00,1077,1062,587980,932010
10/12/2024 20:00,1052,1040,1227666,1050759
10/13/2024 20:00,1029,1024,907857,956419
10/14/2024 20:00,1014,999,854002,929783
10/15/2024 20:00,1055,1046,820772,1019547
10/16/2024 20:00,1063,1045,833987,1028997
10/17/2024 20:00,1072,1068,728997,1282048
10/18/2024 20:00,1077,1066,802258,1051115
10/19/2024 20:00,1087,1076,854998,1107733
10/20/2024 20:00,1040,1045,977986,1100636
10/21/2024 20:00,1021,1014,873796,951924
10/22/2024 20:00,1048,1035,885355,1010264
10/23/2024 20:00,1062,1050,706696,1040011
10/24/2024 20:00,1061,1055,747733,780016
10/25/2024 20:00,1032,1022,753752,1110502
10/26/2024 20:00,1014,1004,974883,1146344
10/27/2024 20:00,990,982,1247615,958784
10/28/2024 20:00,993,985,738123,911366
10/29/2024 20:00,993,985,692282,884645
10/30/2024 20:00,1024,1009,807269,999658
10/31/2024 20:00,1019,1008,707676,995388
11/1/2024 20:00,971,964,1123798,913687
11/2/2024 20:00,978,966,954510,929310
11/3/2024 19:00,1005,991,800253,867792
11/4/2024 19:00,1016,1007,736154,1120738
11/5/2024 19:00,1021,1011,568737,1093587
11/6/2024 19:00,1017,1006,585863,1036726
11/7/2024 19:00,1013,1002,815604,1211423
11/8/2024 19:00,999,985,1116539,1208421
11/9/2024 19:00,989,977,1031037,1165393
11/10/2024 19:00,987,978,704774,1095709
11/11/2024 19:00,989,983,805255,806911
11/12/2024 19:00,996,986,507822,777671
11/13/2024 19:00,996,987,824383,1045890
11/14/2024 19:00,974,965,1048149,800769
11/15/2024 19:00,982,972,903456,1200223
11/16/2024 19:00,973,966,879736,1182255
11/17/2024 19:00,954,947,1162834,1117493
11/18/2024 19:00,969,958,1030607,868621
11/19/2024 19:00,968,960,660202,963407
11/20/2024 19:00,977,967,779191,812342
11/21/2024 19:00,955,944,905627,1023005
11/22/2024 19:00,954,944,753882,1265909
11/23/2024 19:00,951,941,1061438,1211021
11/24/2024 19:00,950,942,930962,963908
11/25/2024 19:00,952,943,789058,997222
11/26/2024 19:00,950,941,536574,843287
11/27/2024 19:00,949,940,427490,597943
11/28/2024 19:00,922,910,598371,478286
11/29/2024 19:00,915,905,539786,910710
11/30/2024 19:00,922,907,759457,735366
12/1/2024 19:00,936,920,724827,621250
12/2/2024 19:00,926,915,530122,710344
12/3/2024 19:00,918,914,458411,489535
12/4/2024 19:00,924,915,639649,704765
12/5/2024 19:00,931,918,486173,535119
12/6/2024 19:00,934,923,510661,609080
12/7/2024 19:00,934,925,569368,728234
12/8/2024 19:00,926,913,518142,545567
12/9/2024 19:00,923,911,476396,634230
12/10/2024 19:00,935,918,590056,819816
12/11/2024 19:00,935,930,603286,643769
12/12/2024 19:00,942,931,631029,495762
12/13/2024 19:00,953,942,807609,816803
12/14/2024 19:00,962,946,669597,857868
12/15/2024 19:00,946,936,660564,778088
12/16/2024 19:00,942,937,616689,654155
12/17/2024 19:00,939,930,785936,606345
12/18/2024 19:00,966,954,544074,737231
12/19/2024 19:00,989,971,774805,746198
12/20/2024 19:00,976,964,515831,890682
12/21/2024 19:00,974,964,743469,835373
12/22/2024 19:00,960,948,695724,690536
12/23/2024 19:00,994,979,640405,744163
12/24/2024 19:00,962,958,506585,533339
12/25/2024 19:00,946,927,751964,732029
12/26/2024 19:00,943,933,628518,627944
12/27/2024 19:00,942,931,940977,809899
12/28/2024 19:00,941,931,770214,730309
12/29/2024 19:00,946,933,666780,902038
12/30/2024 19:00,942,936,688558,743555
